Trial-ID,Status,Iteration,dropout,lr,num_heads,num_hidden_units,num_layers,residual,Objective,epochs,train_acc,train_loss,val_acc_uncertainty,val_loss,val_loss_uncertainty
30,COMPLETED,1,0.48034321791486145,0.0019048565516679452,7,20,1,True,0.796495195025438,438.2,0.8610344827586207,0.41812825202941895,0.005658564160542667,0.6967483758926392,0.024131478369236015
31,INTERMEDIATE,1,0.49775832469796544,0.0018509354686420843,7,20,1,True,0.7951384963256076,404.8,0.8572413793103448,0.42366737127304077,0.007461842849067368,0.686455249786377,0.017213761806488037
31,COMPLETED,1,0.49775832469796544,0.0018509354686420843,7,20,1,True,0.7951384963256076,404.8,0.8572413793103448,0.42366737127304077,0.007461842849067368,0.686455249786377,0.017213761806488037
32,INTERMEDIATE,1,0.49624861190501396,0.0018720191966824019,7,20,1,True,0.7969474279253815,402.0,0.856896551724138,0.4298080503940582,0.006786319954776743,0.6934669017791748,0.021527898311614946
32,COMPLETED,1,0.49624861190501396,0.0018720191966824019,7,20,1,True,0.7969474279253815,402.0,0.856896551724138,0.4298080503940582,0.006786319954776743,0.6934669017791748,0.021527898311614946
33,INTERMEDIATE,1,0.5222057661335191,0.0018131501890097574,7,20,1,True,0.7977388355002827,431.2,0.8624137931034482,0.425236314535141,0.007801017524024734,0.6890029311180115,0.017018795013427734
33,COMPLETED,1,0.5222057661335191,0.0018131501890097574,7,20,1,True,0.7977388355002827,431.2,0.8624137931034482,0.425236314535141,0.007801017524024734,0.6890029311180115,0.017018795013427734
34,INTERMEDIATE,1,0.5606496762927299,0.0017588871925873508,7,20,1,True,0.7964951950254381,391.8,0.8437931034482758,0.46759033203125,0.007687959299039093,0.6880009770393372,0.016243934631347656
34,COMPLETED,1,0.5606496762927299,0.0017588871925873508,7,20,1,True,0.7964951950254381,391.8,0.8437931034482758,0.46759033203125,0.007687959299039093,0.6880009770393372,0.016243934631347656
35,INTERMEDIATE,1,0.23198141818279847,0.0023749836155016455,7,19,1,True,0.7964951950254381,283.2,0.8699999999999999,0.4044150412082672,0.0046382136800451335,0.7083011865615845,0.04465591907501221
35,COMPLETED,1,0.23198141818279847,0.0023749836155016455,7,19,1,True,0.7964951950254381,283.2,0.8699999999999999,0.4044150412082672,0.0046382136800451335,0.7083011865615845,0.04465591907501221
36,INTERMEDIATE,1,0.6048119608944055,0.0017124581651293501,7,20,1,True,0.7960429621254945,482.4,0.8472413793103449,0.4646608233451843,0.0052006783493500075,0.6883088946342468,0.017875730991363525
36,COMPLETED,1,0.6048119608944055,0.0017124581651293501,7,20,1,True,0.7960429621254945,482.4,0.8472413793103449,0.4646608233451843,0.0052006783493500075,0.6883088946342468,0.017875730991363525
37,INTERMEDIATE,1,0.5901528585192521,0.0017267121749087902,7,20,1,True,0.7951384963256076,411.6,0.8468965517241379,0.47845497727394104,0.00395703787450552,0.6931011080741882,0.00971705019474034
37,COMPLETED,1,0.5901528585192521,0.0017267121749087902,7,20,1,True,0.7951384963256076,411.6,0.8468965517241379,0.47845497727394104,0.00395703787450552,0.6931011080741882,0.00971705019474034
38,INTERMEDIATE,1,0.2,0.0026314795773185085,7,19,1,True,0.794007914075749,232.6,0.8641379310344828,0.42329150438308716,0.005992085924251045,0.6960488557815552,0.018324357271194414
38,COMPLETED,1,0.2,0.0026314795773185085,7,19,1,True,0.794007914075749,232.6,0.8641379310344828,0.42329150438308716,0.005992085924251045,0.6960488557815552,0.018324357271194414
39,INTERMEDIATE,1,0.5475021536723795,0.001791394876627537,7,20,1,True,0.7981910684002261,424.6,0.8510344827586207,0.4557737410068512,0.007348784624081284,0.6918146014213562,0.013695895671844482
39,COMPLETED,1,0.5475021536723795,0.001791394876627537,7,20,1,True,0.7981910684002261,424.6,0.8510344827586207,0.4557737410068512,0.007348784624081284,0.6918146014213562,0.013695895671844482
40,INTERMEDIATE,1,0.563191775209087,0.0017807960697510576,7,20,1,True,0.7962690785754664,490.6,0.8575862068965519,0.4265359342098236,0.006105144149236907,0.6901884078979492,0.018332600593566895
40,COMPLETED,1,0.563191775209087,0.0017807960697510576,7,20,1,True,0.7962690785754664,490.6,0.8575862068965519,0.4265359342098236,0.006105144149236907,0.6901884078979492,0.018332600593566895
41,INTERMEDIATE,1,0.5638585847408892,0.0017785590608331617,7,20,1,True,0.7961560203504805,405.0,0.8482758620689657,0.46799540519714355,0.005087620124364034,0.6906024813652039,0.017481327056884766
41,COMPLETED,1,0.5638585847408892,0.0017785590608331617,7,20,1,True,0.7961560203504805,405.0,0.8482758620689657,0.46799540519714355,0.005087620124364034,0.6906024813652039,0.017481327056884766
42,INTERMEDIATE,1,0.5689338477207804,0.0017709425413197477,7,20,1,True,0.7984171848501979,489.8,0.8520689655172415,0.44338980317115784,0.007122668174109781,0.6909347772598267,0.020757855474948905
42,COMPLETED,1,0.5689338477207804,0.0017709425413197477,7,20,1,True,0.7984171848501979,489.8,0.8520689655172415,0.44338980317115784,0.007122668174109781,0.6909347772598267,0.020757855474948905
43,INTERMEDIATE,1,0.598477122990622,0.0017498216858225855,7,20,1,True,0.7953646127755793,422.6,0.846551724137931,0.4715815484523773,0.006557377049180468,0.6899811029434204,0.01674342155456543
43,COMPLETED,1,0.598477122990622,0.0017498216858225855,7,20,1,True,0.7953646127755793,422.6,0.846551724137931,0.4715815484523773,0.006557377049180468,0.6899811029434204,0.01674342155456543
44,INTERMEDIATE,1,0.5717477415749244,0.0017601925889139088,7,20,1,True,0.7947993216506501,405.2,0.8468965517241379,0.46303367614746094,0.00576596947427932,0.6881541013717651,0.01559495478868489
44,COMPLETED,1,0.5717477415749244,0.0017601925889139088,7,20,1,True,0.7947993216506501,405.2,0.8468965517241379,0.46303367614746094,0.00576596947427932,0.6881541013717651,0.01559495478868489
45,INTERMEDIATE,1,0.5622931451597867,0.0017729962584679619,7,20,1,True,0.7971735443753533,508.8,0.8520689655172415,0.4342641830444336,0.006444318824194495,0.6898664236068726,0.02030777931213379
45,COMPLETED,1,0.5622931451597867,0.0017729962584679619,7,20,1,True,0.7971735443753533,508.8,0.8520689655172415,0.4342641830444336,0.006444318824194495,0.6898664236068726,0.02030777931213379
46,INTERMEDIATE,1,0.5710283787480108,0.0017567206233548185,7,20,1,True,0.7959299039005088,480.4,0.8475862068965517,0.4583762288093567,0.005539853024307595,0.6928145289421082,0.01829800903797152
46,COMPLETED,1,0.5710283787480108,0.0017567206233548185,7,20,1,True,0.7959299039005088,480.4,0.8475862068965517,0.4583762288093567,0.005539853024307595,0.6928145289421082,0.01829800903797152
47,INTERMEDIATE,1,0.5711434230782055,0.0017535779007840566,7,20,1,True,0.7946862634256642,475.6,0.8506896551724138,0.4631718695163727,0.004070096099491272,0.6921349763870239,0.012260198593139648
47,COMPLETED,1,0.5711434230782055,0.0017535779007840566,7,20,1,True,0.7946862634256642,475.6,0.8506896551724138,0.4631718695163727,0.004070096099491272,0.6921349763870239,0.012260198593139648
48,INTERMEDIATE,1,0.5601237306162016,0.001778159769052855,7,20,1,True,0.7944601469756926,407.8,0.8455172413793104,0.47048360109329224,0.004635387224420473,0.6939494013786316,0.01325899362564087
48,COMPLETED,1,0.5601237306162016,0.001778159769052855,7,20,1,True,0.7944601469756926,407.8,0.8455172413793104,0.47048360109329224,0.004635387224420473,0.6939494013786316,0.01325899362564087
49,INTERMEDIATE,1,0.20011771776593723,0.0016989784708153863,5,20,1,True,0.7933295647258338,315.4,0.8586206896551725,0.4276963174343109,0.005992085924251045,0.6972931623458862,0.02094817757606504
49,COMPLETED,1,0.20011771776593723,0.0016989784708153863,5,20,1,True,0.7933295647258338,315.4,0.8586206896551725,0.4276963174343109,0.005992085924251045,0.6972931623458862,0.02094817757606504
50,INTERMEDIATE,1,0.5463715467825149,0.0018142545641499166,7,20,1,True,0.7942340305257207,438.2,0.8513793103448275,0.4433157444000244,0.004296212549462997,0.6893004179000854,0.01598149538040161
50,COMPLETED,1,0.5463715467825149,0.0018142545641499166,7,20,1,True,0.7942340305257207,438.2,0.8513793103448275,0.4433157444000244,0.004296212549462997,0.6893004179000854,0.01598149538040161
51,INTERMEDIATE,1,0.552579576870418,0.001761045171465424,7,20,1,True,0.7946862634256642,401.4,0.8424137931034483,0.47548627853393555,0.00621820237422277,0.6973097920417786,0.01875966787338257
51,COMPLETED,1,0.552579576870418,0.001761045171465424,7,20,1,True,0.7946862634256642,401.4,0.8424137931034483,0.47548627853393555,0.00621820237422277,0.6973097920417786,0.01875966787338257
